Admin2,ISO,Month,Year,CivEvents,CivFatalities,PolEvents,PolFatalities,CivFatalitiesProportion,TotalEvents
Jerusalem,PS-JEM,October,2023,18,0,113,11,0,113
Jerusalem,PS-JEM,November,2023,8,0,51,8,0,51
Jerusalem,PS-JEM,December,2023,5,1,43,5,0.2,43
Jerusalem,PS-JEM,January,2024,11,0,39,3,0,39
Jerusalem,PS-JEM,February,2024,7,1,31,6,0.17,31
Jerusalem,PS-JEM,March,2024,12,0,36,3,0,36
Jerusalem,PS-JEM,April,2024,8,0,22,1,0,22
Jerusalem,PS-JEM,May,2024,13,0,29,2,0,29
Jerusalem,PS-JEM,June,2024,13,0,26,0,0,26
Jerusalem,PS-JEM,July,2024,11,0,37,1,0,37
Jerusalem,PS-JEM,August,2024,7,1,31,2,0.5,31
Jerusalem,PS-JEM,September,2024,6,0,32,3,0,32
Jerusalem,PS-JEM,October,2024,12,0,44,2,0,44
Jerusalem,PS-JEM,November,2024,10,1,30,2,0.5,30
Jerusalem,PS-JEM,December,2024,7,1,25,2,0.5,25
Jerusalem,PS-JEM,January,2025,7,1,25,1,1,25
Jerusalem,PS-JEM,February,2025,11,0,31,0,0,31
Jerusalem,PS-JEM,March,2025,16,0,28,1,0,28
Jerusalem,PS-JEM,April,2025,16,0,32,0,0,32
Jerusalem,PS-JEM,May,2025,9,0,26,1,0,26
Jerusalem,PS-JEM,June,2025,20,1,39,2,0.5,39
Jerusalem,PS-JEM,July,2025,17,0,39,0,0,39
Jerusalem,PS-JEM,August,2025,13,0,33,0,0,33
Jerusalem,PS-JEM,September,2025,19,7,48,7,1,48
Jerusalem,PS-JEM,October,2025,34,1,62,1,1,62
Bethlehem,PS-BTH,October,2023,28,0,74,2,0,74
Bethlehem,PS-BTH,November,2023,13,0,59,7,0,59
Bethlehem,PS-BTH,December,2023,12,1,60,3,0.33,60
Bethlehem,PS-BTH,January,2024,12,0,35,1,0,35
Bethlehem,PS-BTH,February,2024,18,1,44,2,0.5,44
Bethlehem,PS-BTH,March,2024,14,1,43,3,0.33,43
Bethlehem,PS-BTH,April,2024,9,0,32,0,0,32
Bethlehem,PS-BTH,May,2024,14,0,49,0,0,49
Bethlehem,PS-BTH,June,2024,5,0,24,1,0,24
Bethlehem,PS-BTH,July,2024,16,0,40,0,0,40
Bethlehem,PS-BTH,August,2024,15,1,42,3,0.33,42
Bethlehem,PS-BTH,September,2024,19,0,52,0,0,52
Bethlehem,PS-BTH,October,2024,20,0,49,0,0,49
Bethlehem,PS-BTH,November,2024,14,0,57,0,0,57
Bethlehem,PS-BTH,December,2024,11,2,33,2,1,33
Bethlehem,PS-BTH,January,2025,17,0,45,0,0,45
Bethlehem,PS-BTH,February,2025,16,0,42,0,0,42
Bethlehem,PS-BTH,March,2025,12,0,38,0,0,38
Bethlehem,PS-BTH,April,2025,23,1,49,1,1,49
Bethlehem,PS-BTH,May,2025,21,0,42,0,0,42
Bethlehem,PS-BTH,June,2025,12,0,21,1,0,21
Bethlehem,PS-BTH,July,2025,32,0,45,6,0,45
Bethlehem,PS-BTH,August,2025,14,0,23,0,0,23
Bethlehem,PS-BTH,September,2025,17,0,30,0,0,30
Bethlehem,PS-BTH,October,2025,16,0,29,0,0,29
Deir Al Balah,PS-DEB,October,2023,99,1305,137,1419,0.92,137
Deir Al Balah,PS-DEB,November,2023,111,811,169,815,1,169
Deir Al Balah,PS-DEB,December,2023,119,1275,248,1291,0.99,248
Deir Al Balah,PS-DEB,January,2024,123,1301,326,1391,0.94,326
Deir Al Balah,PS-DEB,February,2024,92,637,203,859,0.74,203
Deir Al Balah,PS-DEB,March,2024,89,481,236,828,0.58,236
Deir Al Balah,PS-DEB,April,2024,103,501,230,570,0.88,230
Deir Al Balah,PS-DEB,May,2024,77,231,194,322,0.72,194
Deir Al Balah,PS-DEB,June,2024,97,548,206,625,0.88,206
Deir Al Balah,PS-DEB,July,2024,107,443,205,536,0.83,205
Deir Al Balah,PS-DEB,August,2024,142,337,245,428,0.79,245
Deir Al Balah,PS-DEB,September,2024,94,250,176,279,0.9,176
Deir Al Balah,PS-DEB,October,2024,84,274,185,364,0.75,185
Deir Al Balah,PS-DEB,November,2024,109,270,184,270,1,184
Deir Al Balah,PS-DEB,December,2024,89,276,166,303,0.91,166
Deir Al Balah,PS-DEB,January,2025,80,258,139,281,0.92,139
Deir Al Balah,PS-DEB,February,2025,8,19,15,19,1,15
Deir Al Balah,PS-DEB,March,2025,46,114,82,119,0.96,82
Deir Al Balah,PS-DEB,April,2025,80,172,149,195,0.88,149
Deir Al Balah,PS-DEB,May,2025,114,313,185,362,0.86,185
Deir Al Balah,PS-DEB,June,2025,120,280,180,341,0.82,180
Deir Al Balah,PS-DEB,July,2025,109,379,164,394,0.96,164
Deir Al Balah,PS-DEB,August,2025,100,277,173,289,0.96,173
Deir Al Balah,PS-DEB,September,2025,109,323,158,335,0.96,158
Deir Al Balah,PS-DEB,October,2025,34,69,89,142,0.49,89
Gaza,PS-GZA*,October,2023,244,3384,334,3954,0.86,334
Gaza,PS-GZA*,November,2023,260,1923,465,2487,0.77,465
Gaza,PS-GZA*,December,2023,134,1626,372,2461,0.66,372
Gaza,PS-GZA*,January,2024,91,1140,279,1246,0.91,279
Gaza,PS-GZA*,February,2024,116,826,310,1027,0.8,310
Gaza,PS-GZA*,March,2024,149,559,329,807,0.69,329
Gaza,PS-GZA*,April,2024,102,368,302,405,0.91,302
Gaza,PS-GZA*,May,2024,126,371,342,576,0.64,342
Gaza,PS-GZA*,June,2024,123,390,298,574,0.68,298
Gaza,PS-GZA*,July,2024,146,476,336,638,0.75,336
Gaza,PS-GZA*,August,2024,87,252,280,514,0.49,280
Gaza,PS-GZA*,September,2024,93,235,212,369,0.64,212
Gaza,PS-GZA*,October,2024,107,273,259,321,0.85,259
Gaza,PS-GZA*,November,2024,99,310,236,352,0.88,236
Gaza,PS-GZA*,December,2024,129,381,237,440,0.87,237
Gaza,PS-GZA*,January,2025,117,405,183,429,0.94,183
Gaza,PS-GZA*,February,2025,19,12,26,12,1,26
Gaza,PS-GZA*,March,2025,67,305,121,401,0.76,121
Gaza,PS-GZA*,April,2025,119,387,212,503,0.77,212
Gaza,PS-GZA*,May,2025,169,445,265,530,0.84,265
Gaza,PS-GZA*,June,2025,170,792,287,879,0.9,287
Gaza,PS-GZA*,July,2025,248,1073,367,1220,0.88,367
Gaza,PS-GZA*,August,2025,227,939,348,1002,0.94,348
Gaza,PS-GZA*,September,2025,339,1047,489,1115,0.94,489
Gaza,PS-GZA*,October,2025,99,194,220,300,0.65,220
Hebron,PS-HBN,October,2023,127,4,211,11,0.36,211
Hebron,PS-HBN,November,2023,44,2,121,12,0.17,121
Hebron,PS-HBN,December,2023,27,3,114,9,0.33,114
Hebron,PS-HBN,January,2024,37,2,83,11,0.18,83
Hebron,PS-HBN,February,2024,34,2,68,3,0.67,68
Hebron,PS-HBN,March,2024,35,0,71,1,0,71
Hebron,PS-HBN,April,2024,25,1,58,4,0.25,58
Hebron,PS-HBN,May,2024,31,0,88,1,0,88
Hebron,PS-HBN,June,2024,35,0,73,0,0,73
Hebron,PS-HBN,July,2024,43,1,92,5,0.2,92
Hebron,PS-HBN,August,2024,34,1,83,3,0.33,83
Hebron,PS-HBN,September,2024,48,1,87,6,0.17,87
Hebron,PS-HBN,October,2024,33,1,70,2,0.5,70
Hebron,PS-HBN,November,2024,34,0,60,1,0,60
Hebron,PS-HBN,December,2024,19,0,51,1,0,51
Hebron,PS-HBN,January,2025,37,0,78,0,0,78
Hebron,PS-HBN,February,2025,22,1,62,3,0.33,62
Hebron,PS-HBN,March,2025,45,0,94,0,0,94
Hebron,PS-HBN,April,2025,31,0,62,0,0,62
Hebron,PS-HBN,May,2025,35,0,82,1,0,82
Hebron,PS-HBN,June,2025,31,2,54,2,1,54
Hebron,PS-HBN,July,2025,38,3,69,4,0.75,69
Hebron,PS-HBN,August,2025,48,0,81,0,0,81
Hebron,PS-HBN,September,2025,31,0,70,0,0,70
Hebron,PS-HBN,October,2025,48,0,90,1,0,90
Jenin,PS-JEN,October,2023,13,0,97,17,0,97
Jenin,PS-JEN,November,2023,11,5,118,53,0.09,118
Jenin,PS-JEN,December,2023,9,1,83,14,0.07,83
Jenin,PS-JEN,January,2024,14,7,86,15,0.47,86
Jenin,PS-JEN,February,2024,11,0,66,9,0,66
Jenin,PS-JEN,March,2024,11,3,79,13,0.23,79
Jenin,PS-JEN,April,2024,13,0,61,2,0,61
Jenin,PS-JEN,May,2024,13,0,48,14,0,48
Jenin,PS-JEN,June,2024,8,0,59,16,0,59
Jenin,PS-JEN,July,2024,17,0,59,12,0,59
Jenin,PS-JEN,August,2024,8,0,52,40,0,52
Jenin,PS-JEN,September,2024,14,3,75,13,0.23,75
Jenin,PS-JEN,October,2024,17,1,62,5,0.2,62
Jenin,PS-JEN,November,2024,6,2,76,23,0.09,76
Jenin,PS-JEN,December,2024,5,2,68,17,0.12,68
Jenin,PS-JEN,January,2025,12,2,92,41,0.05,92
Jenin,PS-JEN,February,2025,36,1,85,8,0.13,85
Jenin,PS-JEN,March,2025,35,2,56,9,0.22,56
Jenin,PS-JEN,April,2025,29,1,75,7,0.14,75
Jenin,PS-JEN,May,2025,39,0,84,0,0,84
Jenin,PS-JEN,June,2025,35,0,67,1,0,67
Jenin,PS-JEN,July,2025,36,2,56,5,0.4,56
Jenin,PS-JEN,August,2025,38,0,56,1,0,56
Jenin,PS-JEN,September,2025,40,2,74,3,0.67,74
Jenin,PS-JEN,October,2025,46,0,81,5,0,81
Jericho & Al Aghwar,PS-JRH,October,2023,15,0,40,6,0,40
Jericho & Al Aghwar,PS-JRH,November,2023,11,1,34,2,0.5,34
Jericho & Al Aghwar,PS-JRH,December,2023,5,0,18,0,0,18
Jericho & Al Aghwar,PS-JRH,January,2024,1,0,7,1,0,7
Jericho & Al Aghwar,PS-JRH,February,2024,4,0,7,0,0,7
Jericho & Al Aghwar,PS-JRH,March,2024,5,0,9,3,0,9
Jericho & Al Aghwar,PS-JRH,April,2024,7,0,11,1,0,11
Jericho & Al Aghwar,PS-JRH,May,2024,10,0,13,0,0,13
Jericho & Al Aghwar,PS-JRH,June,2024,6,0,12,2,0,12
Jericho & Al Aghwar,PS-JRH,July,2024,6,0,8,0,0,8
Jericho & Al Aghwar,PS-JRH,August,2024,10,0,15,0,0,15
Jericho & Al Aghwar,PS-JRH,September,2024,11,4,14,4,1,14
Jericho & Al Aghwar,PS-JRH,October,2024,4,1,6,1,1,6
Jericho & Al Aghwar,PS-JRH,November,2024,4,0,7,0,0,7
Jericho & Al Aghwar,PS-JRH,December,2024,6,0,10,0,0,10
Jericho & Al Aghwar,PS-JRH,January,2025,10,0,13,0,0,13
Jericho & Al Aghwar,PS-JRH,February,2025,8,0,14,0,0,14
Jericho & Al Aghwar,PS-JRH,March,2025,4,0,7,0,0,7
Jericho & Al Aghwar,PS-JRH,April,2025,11,0,20,0,0,20
Jericho & Al Aghwar,PS-JRH,May,2025,13,0,26,1,0,26
Jericho & Al Aghwar,PS-JRH,June,2025,2,0,10,0,0,10
Jericho & Al Aghwar,PS-JRH,July,2025,8,0,14,0,0,14
Jericho & Al Aghwar,PS-JRH,August,2025,11,0,15,1,0,15
Jericho & Al Aghwar,PS-JRH,September,2025,11,0,17,3,0,17
Jericho & Al Aghwar,PS-JRH,October,2025,6,0,8,0,0,8
Khan Yunis,PS-KYS,October,2023,115,1047,170,1223,0.86,170
Khan Yunis,PS-KYS,November,2023,126,609,188,651,0.94,188
Khan Yunis,PS-KYS,December,2023,171,1345,413,1493,0.9,413
Khan Yunis,PS-KYS,January,2024,141,1303,416,1776,0.73,416
Khan Yunis,PS-KYS,February,2024,112,457,290,855,0.53,290
Khan Yunis,PS-KYS,March,2024,68,304,264,687,0.44,264
Khan Yunis,PS-KYS,April,2024,31,139,125,164,0.85,125
Khan Yunis,PS-KYS,May,2024,25,36,84,45,0.8,84
Khan Yunis,PS-KYS,June,2024,33,100,90,100,1,90
Khan Yunis,PS-KYS,July,2024,104,294,183,542,0.54,183
Khan Yunis,PS-KYS,August,2024,136,318,296,586,0.54,296
Khan Yunis,PS-KYS,September,2024,58,126,121,153,0.82,121
Khan Yunis,PS-KYS,October,2024,54,184,117,200,0.92,117
Khan Yunis,PS-KYS,November,2024,45,187,91,199,0.94,91
Khan Yunis,PS-KYS,December,2024,38,70,76,125,0.56,76
Khan Yunis,PS-KYS,January,2025,50,99,96,139,0.71,96
Khan Yunis,PS-KYS,February,2025,13,33,32,33,1,32
Khan Yunis,PS-KYS,March,2025,80,343,148,371,0.92,148
Khan Yunis,PS-KYS,April,2025,195,474,294,553,0.86,294
Khan Yunis,PS-KYS,May,2025,214,550,342,622,0.88,342
Khan Yunis,PS-KYS,June,2025,163,463,371,552,0.84,371
Khan Yunis,PS-KYS,July,2025,130,626,290,690,0.91,290
Khan Yunis,PS-KYS,August,2025,111,329,228,379,0.87,228
Khan Yunis,PS-KYS,September,2025,102,167,167,182,0.92,167
Khan Yunis,PS-KYS,October,2025,50,72,122,120,0.6,122
Nablus,PS-NBS,October,2023,83,7,213,24,0.29,213
Nablus,PS-NBS,November,2023,53,1,162,13,0.08,162
Nablus,PS-NBS,December,2023,25,0,118,5,0,118
Nablus,PS-NBS,January,2024,27,0,101,6,0,101
Nablus,PS-NBS,February,2024,26,4,112,8,0.5,112
Nablus,PS-NBS,March,2024,44,2,119,4,0.5,119
Nablus,PS-NBS,April,2024,36,2,122,7,0.29,122
Nablus,PS-NBS,May,2024,43,0,157,4,0,157
Nablus,PS-NBS,June,2024,40,0,136,4,0,136
Nablus,PS-NBS,July,2024,37,0,164,5,0,164
Nablus,PS-NBS,August,2024,38,0,144,3,0,144
Nablus,PS-NBS,September,2024,31,2,132,3,0.67,132
Nablus,PS-NBS,October,2024,77,0,181,9,0,181
Nablus,PS-NBS,November,2024,28,1,123,4,0.25,123
Nablus,PS-NBS,December,2024,22,1,152,8,0.13,152
Nablus,PS-NBS,January,2025,59,0,145,8,0,145
Nablus,PS-NBS,February,2025,27,0,123,4,0,123
Nablus,PS-NBS,March,2025,45,1,127,4,0.25,127
