Country,Admin1,Area,ISO3,Admin2PCode,Admin1PCode,Month,Year,CivEvents,CivFatalities,PolEvents,PolFatalities,civFatalitiesProportion,TotalEvents
Palestine,West Bank,Jerusalem,PSE,PS0140,PS01,,2023,31,1,207,24,0.041666667,207
Palestine,West Bank,Jerusalem,PSE,PS0140,PS01,,2024,148,5,589,51,0.098039216,589
Palestine,West Bank,Jerusalem,PSE,PS0140,PS01,,2025,162,10,363,13,0.769230769,363
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,,2023,53,1,193,12,0.083333333,193
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,,2024,167,5,500,13,0.384615385,500
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,,2025,180,1,364,8,0.125,364
Palestine,Gaza Strip,Deir Al Balah,PSE,PS0265,PS02,,2023,329,3391,554,3525,0.961985816,554
Palestine,Gaza Strip,Deir Al Balah,PSE,PS0265,PS02,,2024,1206,5549,2556,6775,0.81904059,2556
Palestine,Gaza Strip,Deir Al Balah,PSE,PS0265,PS02,,2025,800,2204,1334,2477,0.889786031,1334
Palestine,Gaza Strip,Gaza,PSE,PS0260,PS02,,2023,638,6933,1171,8902,0.77881375,1171
Palestine,Gaza Strip,Gaza,PSE,PS0260,PS02,,2024,1368,5581,3420,7269,0.767780988,3420
Palestine,Gaza Strip,Gaza,PSE,PS0260,PS02,,2025,1574,5599,2518,6391,0.876075731,2518
Palestine,West Bank,Hebron,PSE,PS0150,PS01,,2023,198,9,446,32,0.28125,446
Palestine,West Bank,Hebron,PSE,PS0150,PS01,,2024,408,9,884,38,0.236842105,884
Palestine,West Bank,Hebron,PSE,PS0150,PS01,,2025,366,6,742,11,0.545454545,742
Palestine,West Bank,Jenin,PSE,PS0101,PS01,,2023,33,6,298,84,0.071428571,298
Palestine,West Bank,Jenin,PSE,PS0101,PS01,,2024,137,18,791,179,0.100558659,791
Palestine,West Bank,Jenin,PSE,PS0101,PS01,,2025,346,10,726,80,0.125,726
Palestine,West Bank,Jericho & Al Aghwar,PSE,PS0135,PS01,,2023,31,1,92,8,0.125,92
Palestine,West Bank,Jericho & Al Aghwar,PSE,PS0135,PS01,,2024,74,5,119,12,0.416666667,119
Palestine,West Bank,Jericho & Al Aghwar,PSE,PS0135,PS01,,2025,84,0,144,5,0,144
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,,2023,412,3001,771,3367,0.891297891,771
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,,2024,845,3518,2153,5432,0.647643594,2153
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,,2025,1108,3156,2090,3641,0.866794837,2090
Palestine,West Bank,Nablus,PSE,PS0115,PS01,,2023,161,8,493,42,0.19047619,493
Palestine,West Bank,Nablus,PSE,PS0115,PS01,,2024,449,12,1643,65,0.184615385,1643
Palestine,West Bank,Nablus,PSE,PS0115,PS01,,2025,445,3,1189,40,0.075,1189
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,,2023,348,4422,703,4672,0.946489726,703
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,,2024,593,3344,1842,5644,0.592487597,1842
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,,2025,394,1794,739,2130,0.842253521,739
Palestine,West Bank,Qalqiliya,PSE,PS0120,PS01,,2023,55,2,188,12,0.166666667,188
Palestine,West Bank,Qalqiliya,PSE,PS0120,PS01,,2024,150,7,433,19,0.368421053,433
Palestine,West Bank,Qalqiliya,PSE,PS0120,PS01,,2025,116,5,265,12,0.416666667,265
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,,2023,215,1701,354,1736,0.97983871,354
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,,2024,738,2328,1938,4674,0.498074454,1938
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,,2025,353,1402,659,1575,0.89015873,659
Palestine,West Bank,Ramallah & Al Bireh,PSE,PS0130,PS01,,2023,116,1,322,26,0.038461538,322
Palestine,West Bank,Ramallah & Al Bireh,PSE,PS0130,PS01,,2024,322,10,792,41,0.243902439,792
Palestine,West Bank,Ramallah & Al Bireh,PSE,PS0130,PS01,,2025,342,11,752,18,0.611111111,752
Palestine,West Bank,Salfit,PSE,PS0125,PS01,,2023,64,0,96,1,0,96
Palestine,West Bank,Salfit,PSE,PS0125,PS01,,2024,148,3,257,5,0.6,257
Palestine,West Bank,Salfit,PSE,PS0125,PS01,,2025,207,1,287,3,0.333333333,287
Palestine,West Bank,Tubas,PSE,PS0105,PS01,,2023,26,1,94,21,0.047619048,94
Palestine,West Bank,Tubas,PSE,PS0105,PS01,,2024,53,3,263,49,0.06122449,263
Palestine,West Bank,Tubas,PSE,PS0105,PS01,,2025,99,0,240,33,0,240
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,,2023,43,13,189,61,0.213114754,189
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,,2024,114,10,519,174,0.057471264,519
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,,2025,334,4,418,17,0.235294118,418
