Area Name,ISO,Year,CivEvents,CivFatalities,PolEvents,PolFatalities,civFatalitiesProportion,TotalEvents
Jerusalem,PS-JEM,2023,31,1,207,24,0.041666667,207
Jerusalem,PS-JEM,2024,148,5,589,51,0.098039216,589
Jerusalem,PS-JEM,2025,162,10,363,13,0.769230769,363
Bethlehem,PS-BTH,2023,53,1,193,12,0.083333333,193
Bethlehem,PS-BTH,2024,167,5,500,13,0.384615385,500
Bethlehem,PS-BTH,2025,180,1,364,8,0.125,364
Deir Al Balah,PS-DEB,2023,329,3391,554,3525,0.961985816,554
Deir Al Balah,PS-DEB,2024,1206,5549,2556,6775,0.81904059,2556
Deir Al Balah,PS-DEB,2025,800,2204,1334,2477,0.889786031,1334
Gaza,PS-GZA*,2023,638,6933,1171,8902,0.77881375,1171
Gaza,PS-GZA*,2024,1368,5581,3420,7269,0.767780988,3420
Gaza,PS-GZA*,2025,1574,5599,2518,6391,0.876075731,2518
Hebron,PS-HBN,2023,198,9,446,32,0.28125,446
Hebron,PS-HBN,2024,408,9,884,38,0.236842105,884
Hebron,PS-HBN,2025,366,6,742,11,0.545454545,742
Jenin,PS-JEN,2023,33,6,298,84,0.071428571,298
Jenin,PS-JEN,2024,137,18,791,179,0.100558659,791
Jenin,PS-JEN,2025,346,10,726,80,0.125,726
Jericho & Al Aghwar,PS-JRH,2023,31,1,92,8,0.125,92
Jericho & Al Aghwar,PS-JRH,2024,74,5,119,12,0.416666667,119
Jericho & Al Aghwar,PS-JRH,2025,84,0,144,5,0,144
Khan Yunis,PS-KYS,2023,412,3001,771,3367,0.891297891,771
Khan Yunis,PS-KYS,2024,845,3518,2153,5432,0.647643594,2153
Khan Yunis,PS-KYS,2025,1108,3156,2090,3641,0.866794837,2090
Nablus,PS-NBS,2023,161,8,493,42,0.19047619,493
Nablus,PS-NBS,2024,449,12,1643,65,0.184615385,1643
Nablus,PS-NBS,2025,445,3,1189,40,0.075,1189
North Gaza,PS-NGZ,2023,348,4422,703,4672,0.946489726,703
North Gaza,PS-NGZ,2024,593,3344,1842,5644,0.592487597,1842
North Gaza,PS-NGZ,2025,394,1794,739,2130,0.842253521,739
Qalqiliya,PS-QQA,2023,55,2,188,12,0.166666667,188
Qalqiliya,PS-QQA,2024,150,7,433,19,0.368421053,433
Qalqiliya,PS-QQA,2025,116,5,265,12,0.416666667,265
Rafah,PS-RFH,2023,215,1701,354,1736,0.97983871,354
Rafah,PS-RFH,2024,738,2328,1938,4674,0.498074454,1938
Rafah,PS-RFH,2025,353,1402,659,1575,0.89015873,659
Ramallah & Al Bireh,PS-RBH*,2023,116,1,322,26,0.038461538,322
Ramallah & Al Bireh,PS-RBH*,2024,322,10,792,41,0.243902439,792
Ramallah & Al Bireh,PS-RBH*,2025,342,11,752,18,0.611111111,752
Salfit,PS-SLT,2023,64,0,96,1,0,96
Salfit,PS-SLT,2024,148,3,257,5,0.6,257
Salfit,PS-SLT,2025,207,1,287,3,0.333333333,287
Tubas,PS-TBS,2023,26,1,94,21,0.047619048,94
Tubas,PS-TBS,2024,53,3,263,49,0.06122449,263
Tubas,PS-TBS,2025,99,0,240,33,0,240
Tulkarm,PS-TKM,2023,43,13,189,61,0.213114754,189
Tulkarm,PS-TKM,2024,114,10,519,174,0.057471264,519
Tulkarm,PS-TKM,2025,334,4,418,17,0.235294118,418
