ID,No. of Trucks,Received Date,Data Source,Manifest of,Description of Cargo,Cargo Category,Status,Quantity,Units,Donating Country/ Organization,Donation Type,Crossing,Destination Recipient/ Partner,Data Period,Data Entry Type,Last Edited Time,,,,,,,,
75734,1,2025-01-16,UNRWA,Non-Manifest (2025-01-16),Food Parcels,Food Items,Received,22,Pallets,UNRWA,Humanitarian - UN,Kerem Shalom,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75735,1,2025-01-16,UNRWA,Non-Manifest (2025-01-16),Food Parcels,Food Items,Received,38,Pallets,UNRWA,Humanitarian - UN,Kerem Shalom,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75736,1,2025-01-16,UNRWA,Non-Manifest (2025-01-16),Food Parcels,Food Items,Received,16,Pallets,UNRWA,Humanitarian - UN,Kerem Shalom,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75737,1,2025-01-16,UNRWA,Non-Manifest (2025-01-16),Food Parcels,Food Items,Received,40,Pallets,UNRWA,Humanitarian - UN,Kerem Shalom,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75738,1,2025-01-16,UNRWA,Non-Manifest (2025-01-16),Food Parcels,Food Items,Received,44,Pallets,UNRWA,Humanitarian - UN,Kerem Shalom,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 11:51:26,,,,,,,,
75739,1,2025-01-16,UNRWA,Non-Manifest (2025-01-16),Food Parcels,Food Items,Received,30,Pallets,UNRWA,Humanitarian - UN,Kerem Shalom,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
74188,1,2025-01-13,UNRWA,Non-Manifest (2025-01-13),Flour,Food Items,Received,26,Pallets,UNRWA,Humanitarian - UN,Kerem Shalom,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75740,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Bulgur + Pasta + Rice + Tomato Paste + White Beans + Lentils + Peas + Carrot + Chickpeas,Food Items,Received,9,Pallets,WFP,Humanitarian - UN,Gate 96,WFP,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75741,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Clothes,Non-Food Items,Received,14,Pallets,UNFPA,Humanitarian - UN,Gate 96,UNFPA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75760,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Flour,Food Items,Received,20,Pallets,UNRWA,Humanitarian - UN,Gate 96,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75761,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Flour,Food Items,Received,1,Pallets,WFP,Humanitarian - UN,Gate 96,WFP,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75762,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Flour,Food Items,Received,2,Pallets,WFP,Humanitarian - UN,Gate 96,WFP,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75763,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Flour + Food Parcels,Food Items,Received,18,Pallets,UNRWA,Humanitarian - UN,Gate 96,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75764,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,20,Pallets,UNRWA,Humanitarian - UN,Gate 96,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75765,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,19,Pallets,UNRWA,Humanitarian - UN,Gate 96,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75766,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,18,Pallets,UNRWA,Humanitarian - UN,Gate 96,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75767,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,25,Pallets,WFP,Humanitarian - UN,Gate 96,WFP,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75768,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,25,Pallets,WFP,Humanitarian - UN,Gate 96,WFP,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75769,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,23,Pallets,WFP,Humanitarian - UN,Gate 96,WFP,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75770,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Food Parcels,Food Items,Received,20,Pallets,WFP,Humanitarian - UN,Gate 96,WFP,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75772,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Shelter,Non-Food Items,Received,22,Pallets,ACTED,Humanitarian - INGO,Gate 96,ACTED,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75773,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Tents,Non-Food Items,Received,7,Pallets,CRS,Humanitarian - INGO,Gate 96,CRS,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75774,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Tents,Non-Food Items,Received,7,Pallets,CRS,Humanitarian - INGO,Gate 96,CRS,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75775,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Tents,Non-Food Items,Received,7,Pallets,CRS,Humanitarian - INGO,Gate 96,CRS,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75776,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Tents,Non-Food Items,Received,8,Pallets,UNRWA,Humanitarian - UN,Gate 96,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75777,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Tents,Non-Food Items,Received,8,Pallets,UNRWA,Humanitarian - UN,Gate 96,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75778,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Tents,Non-Food Items,Received,8,Pallets,UNRWA,Humanitarian - UN,Gate 96,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75779,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Tents,Non-Food Items,Received,8,Pallets,UNRWA,Humanitarian - UN,Gate 96,UNRWA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75780,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Tents + Clothes  Shoes,Non-Food Items,Received,16,Pallets,UNRWA + UNFPA,Humanitarian - UN,Gate 96,UNRWA + UNFPA,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75781,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Tents + Swcumax,Non-Food Items,Received,23,Pallets,CRS,Humanitarian - INGO,Gate 96,CRS,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75782,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Carpet,Non-Food Items,Received,18,Pallets,JHCO,Humanitarian - INGO,Western Erez,JHCO,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75783,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Clothes,Non-Food Items,Received,19,Pallets,UNICEF,Humanitarian - UN,Western Erez,UNICEF,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75784,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Clothes,Non-Food Items,Received,19,Pallets,UNICEF,Humanitarian - UN,Western Erez,UNICEF,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75785,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Flour,Food Items,Received,21,Pallets,WFP,Humanitarian - UN,Western Erez,WFP,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75786,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Flour,Food Items,Received,21,Pallets,WFP,Humanitarian - UN,Western Erez,WFP,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75787,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Flour,Food Items,Received,22,Pallets,WFP,Humanitarian - UN,Western Erez,WFP,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75788,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Flour,Food Items,Received,22,Pallets,WFP,Humanitarian - UN,Western Erez,WFP,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75789,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Flour,Food Items,Received,22,Pallets,WFP,Humanitarian - UN,Western Erez,WFP,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75790,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Flour,Food Items,Received,22,Pallets,WFP,Humanitarian - UN,Western Erez,WFP,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
75791,1,2025-01-13,WFP LC,Non-Manifest (2025-01-13),Flour,Food Items,Received,22,Pallets,WFP,Humanitarian - UN,Western Erez,WFP,Current Data (after Rafah Operation),New data,2025-01-19 12:02:00,,,,,,,,
