Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Sector Affected,Provider,Launch Type,Explosive Weapon Type,Reported Perpetrator,Reported Perpetrator Name,Affected,Aid Workers Killed,Health Workers Killed,Aid Health Workers Killed,Educators Killed,Students Killed,Food Security,SiND Event ID
2025-06-29,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,109025
2025-06-27,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108980
2025-06-27,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108979
2025-06-27,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,109023
2025-06-27,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108981
2025-06-27,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Ground-Launched,Artillery,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,109024
2025-06-26,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Ground-Launched,Artillery,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108978
2025-06-26,,OPT,PSE,Gaza Strip,,,censored,"Health Care, Aid Operations, Food Security",National Red Cross Society,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Health Worker,,,1,,,,108863
2025-06-25,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Ground-Launched,Shelling,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108977
2025-06-25,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,109022
2025-06-25,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Air-Launched: Drone,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,109021
2025-06-25,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Air-Launched: Drone,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,109020
2025-06-25,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,109019
2025-06-25,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,109018
2025-06-24,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Ground-Launched,Shelling,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108976
2025-06-23,,Iran,IRN,No Information,32.6,54.5,(6) Country,"Health Care, Aid Operations",National Red Cross Society,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Worker,,,,,,,108929
2025-06-23,,Iran,IRN,Tehran Province,35.7,51.4,(2) 25 km Precision ,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure,,,,,,,104361
