Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Sector Affected,Provider,Launch Type,Explosive Weapon Type,Reported Perpetrator,Reported Perpetrator Name,Affected
2025-06-23,,Iran,IRN,No Information,32.6,54.5,(6) Country,"Health Care, Aid Operations",National Red Cross Society,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Worker
2025-06-23,,Iran,IRN,Tehran Province,35.7,51.4,(2) 25 km Precision ,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure
2025-06-23,,Iran,IRN,Tehran Province,35.7,51.3,(2) 25 km Precision ,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure
2025-06-23,,Iran,IRN,Tehran Province,35.6,51.3,(2) 25 km Precision ,"Health Care, Aid Operations",National Red Cross Society,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Aid Infrastructure
2025-06-23,,Iran,IRN,Tehran Province,35.7,51.4,(2) 25 km Precision ,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure
2025-06-22,,Iran,IRN,Isfahan Province,32.6,51.3,(2) 25 km Precision ,Health Care,Local Health Care Provider,Air-Launched: Drone,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure
2025-06-21,,Iran,IRN,Khuzestan Province,31.4,48,(2) 25 km Precision ,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure
2025-06-21,,Iran,IRN,Lorestan Province,33.4,48.3,(2) 25 km Precision ,"Health Care, Aid Operations",NGO,Air-Launched: Drone,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Worker
2025-06-20,,Iran,IRN,Kurdistan Province,34.7,46.9,(2) 25 km Precision ,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure
2025-06-20,,Iran,IRN,Tehran Province,35.6,51.3,(2) 25 km Precision ,Health Care,Local Health Care Provider,Air-Launched: Drone,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure
2025-06-19,,Lebanon,LBN,Nabatieh Governorate,33.2,35.3,censored by HDX,Food Security,None,Directly-Emplaced,Hand Grenade,Foreign Forces: Military,Israeli Defence Forces,Other
2025-06-17,,Iran,IRN,Tehran Province,35.7,51.4,(2) 25 km Precision ,"Health Care, Aid Operations",National Red Cross Society,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Aid Infrastructure
2025-06-17,,Lebanon,LBN,South Governorate,33.3,35.0,censored by HDX,Food Security,None,Directly-Emplaced,Hand Grenade,Foreign Forces: Military,Israeli Defence Forces,Other
2025-06-17,,Iran,IRN,Tehran Province,35.7,51.4,(2) 25 km Precision ,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Other
2025-06-17,,Iran,IRN,Tehran Province,35.7,51.4,(2) 25 km Precision ,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure
2025-06-17,,Iran,IRN,Tehran Province,35.7,51.4,(2) 25 km Precision ,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure
2025-06-17,,Iran,IRN,Tehran Province,35.7,51.4,(2) 25 km Precision ,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure
2025-06-16,,Iran,IRN,Tehran Province,35.4,51.4,"(4) Province, State, Governorate ","Health Care, Aid Operations",National Red Cross Society,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure
