Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Palestine,Gaza Strip,Gaza,PSE,PS0260,PS02,October,2023,334,3954
Palestine,West Bank,Nablus,PSE,PS0115,PS01,October,2023,213,24
Palestine,West Bank,Hebron,PSE,PS0150,PS01,October,2023,211,11
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,October,2023,74,2
Palestine,West Bank,Jericho,PSE,PS0135,PS01,October,2023,40,6
Palestine,West Bank,Ramallah,PSE,PS0130,PS01,October,2023,163,14
Palestine,Gaza Strip,Khan Younis,PSE,PS0270,PS02,October,2023,170,1223
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,October,2023,191,1422
Palestine,West Bank,Tubas,PSE,PS0105,PS01,October,2023,38,4
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,October,2023,63,6
Palestine,West Bank,Salfit,PSE,PS0125,PS01,October,2023,52,0
Palestine,Gaza Strip,Deir Al-Balah,PSE,PS0265,PS02,October,2023,137,1419
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,October,2023,112,969
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,October,2023,113,11
Palestine,West Bank,Jenin,PSE,PS0101,PS01,October,2023,97,17
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,October,2023,59,22
Palestine,Gaza Strip,Gaza,PSE,PS0260,PS02,November,2023,465,2487
Palestine,West Bank,Nablus,PSE,PS0115,PS01,November,2023,162,13
Palestine,West Bank,Hebron,PSE,PS0150,PS01,November,2023,121,12
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,November,2023,59,7
Palestine,West Bank,Jericho,PSE,PS0135,PS01,November,2023,34,2
Palestine,West Bank,Ramallah,PSE,PS0130,PS01,November,2023,86,10
Palestine,Gaza Strip,Khan Younis,PSE,PS0270,PS02,November,2023,188,651
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,November,2023,267,1987
Palestine,West Bank,Tubas,PSE,PS0105,PS01,November,2023,36,5
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,November,2023,58,2
Palestine,West Bank,Salfit,PSE,PS0125,PS01,November,2023,27,0
Palestine,Gaza Strip,Deir Al-Balah,PSE,PS0265,PS02,November,2023,169,815
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,November,2023,95,266
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,November,2023,51,8
Palestine,West Bank,Jenin,PSE,PS0101,PS01,November,2023,118,53
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,November,2023,75,26
Palestine,Gaza Strip,Gaza,PSE,PS0260,PS02,December,2023,372,2461
Palestine,West Bank,Nablus,PSE,PS0115,PS01,December,2023,118,5
Palestine,West Bank,Hebron,PSE,PS0150,PS01,December,2023,114,9
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,December,2023,60,3
Palestine,West Bank,Jericho,PSE,PS0135,PS01,December,2023,18,0
Palestine,West Bank,Ramallah,PSE,PS0130,PS01,December,2023,73,2
Palestine,Gaza Strip,Khan Younis,PSE,PS0270,PS02,December,2023,413,1493
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,December,2023,245,1263
Palestine,West Bank,Tubas,PSE,PS0105,PS01,December,2023,20,12
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,December,2023,67,4
Palestine,West Bank,Salfit,PSE,PS0125,PS01,December,2023,17,1
Palestine,Gaza Strip,Deir Al-Balah,PSE,PS0265,PS02,December,2023,248,1291
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,December,2023,147,501
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,December,2023,43,5
Palestine,West Bank,Jenin,PSE,PS0101,PS01,December,2023,83,14
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,December,2023,55,13
Palestine,Gaza Strip,Gaza,PSE,PS0260,PS02,January,2024,279,1246
Palestine,West Bank,Nablus,PSE,PS0115,PS01,January,2024,101,6
Palestine,West Bank,Hebron,PSE,PS0150,PS01,January,2024,83,11
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,January,2024,35,1
Palestine,West Bank,Jericho,PSE,PS0135,PS01,January,2024,7,1
Palestine,West Bank,Ramallah,PSE,PS0130,PS01,January,2024,60,11
Palestine,Gaza Strip,Khan Younis,PSE,PS0270,PS02,January,2024,416,1776
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,January,2024,163,429
Palestine,West Bank,Tubas,PSE,PS0105,PS01,January,2024,10,1
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,January,2024,63,4
Palestine,West Bank,Salfit,PSE,PS0125,PS01,January,2024,18,0
Palestine,Gaza Strip,Deir Al-Balah,PSE,PS0265,PS02,January,2024,326,1391
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,January,2024,120,222
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,January,2024,39,3
Palestine,West Bank,Jenin,PSE,PS0101,PS01,January,2024,86,15
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,January,2024,44,14
Palestine,Gaza Strip,Gaza,PSE,PS0260,PS02,February,2024,310,1027
Palestine,West Bank,Nablus,PSE,PS0115,PS01,February,2024,112,8
Palestine,West Bank,Hebron,PSE,PS0150,PS01,February,2024,68,3
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,February,2024,44,2
Palestine,West Bank,Jericho,PSE,PS0135,PS01,February,2024,7,0
Palestine,West Bank,Ramallah,PSE,PS0130,PS01,February,2024,69,0
Palestine,Gaza Strip,Khan Younis,PSE,PS0270,PS02,February,2024,290,855
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,February,2024,117,96
Palestine,West Bank,Tubas,PSE,PS0105,PS01,February,2024,20,3
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,February,2024,34,2
Palestine,West Bank,Salfit,PSE,PS0125,PS01,February,2024,15,0
Palestine,Gaza Strip,Deir Al-Balah,PSE,PS0265,PS02,February,2024,203,859
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,February,2024,152,451
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,February,2024,31,6
Palestine,West Bank,Jenin,PSE,PS0101,PS01,February,2024,66,9
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,February,2024,36,5
Palestine,Gaza Strip,Gaza,PSE,PS0260,PS02,March,2024,329,807
Palestine,West Bank,Nablus,PSE,PS0115,PS01,March,2024,119,4
Palestine,West Bank,Hebron,PSE,PS0150,PS01,March,2024,71,1
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,March,2024,43,3
Palestine,West Bank,Jericho,PSE,PS0135,PS01,March,2024,9,3
Palestine,West Bank,Ramallah,PSE,PS0130,PS01,March,2024,51,9
Palestine,Gaza Strip,Khan Younis,PSE,PS0270,PS02,March,2024,264,687
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,March,2024,172,146
Palestine,West Bank,Tubas,PSE,PS0105,PS01,March,2024,18,0
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,March,2024,39,0
Palestine,West Bank,Salfit,PSE,PS0125,PS01,March,2024,11,0
Palestine,Gaza Strip,Deir Al-Balah,PSE,PS0265,PS02,March,2024,236,828
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,March,2024,133,213
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,March,2024,36,3
Palestine,West Bank,Jenin,PSE,PS0101,PS01,March,2024,79,13
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,March,2024,48,11
Palestine,Gaza Strip,Gaza,PSE,PS0260,PS02,April,2024,302,405
Palestine,West Bank,Nablus,PSE,PS0115,PS01,April,2024,122,7
Palestine,West Bank,Hebron,PSE,PS0150,PS01,April,2024,58,4
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,April,2024,32,0
Palestine,West Bank,Jericho,PSE,PS0135,PS01,April,2024,11,1
Palestine,West Bank,Ramallah,PSE,PS0130,PS01,April,2024,62,3
Palestine,Gaza Strip,Khan Younis,PSE,PS0270,PS02,April,2024,125,164
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,April,2024,132,265
Palestine,West Bank,Tubas,PSE,PS0105,PS01,April,2024,20,3
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,April,2024,43,0
Palestine,West Bank,Salfit,PSE,PS0125,PS01,April,2024,14,0
Palestine,Gaza Strip,Deir Al-Balah,PSE,PS0265,PS02,April,2024,230,570
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,April,2024,103,324
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,April,2024,22,1
Palestine,West Bank,Jenin,PSE,PS0101,PS01,April,2024,61,2
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,April,2024,45,16
Palestine,Gaza Strip,Gaza,PSE,PS0260,PS02,May,2024,342,576
Palestine,West Bank,Nablus,PSE,PS0115,PS01,May,2024,157,4
Palestine,West Bank,Hebron,PSE,PS0150,PS01,May,2024,88,1
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,May,2024,49,0
Palestine,West Bank,Jericho,PSE,PS0135,PS01,May,2024,13,0
Palestine,West Bank,Ramallah,PSE,PS0130,PS01,May,2024,85,1
Palestine,Gaza Strip,Khan Younis,PSE,PS0270,PS02,May,2024,84,45
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,May,2024,223,754
Palestine,West Bank,Tubas,PSE,PS0105,PS01,May,2024,27,0
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,May,2024,44,0
Palestine,West Bank,Salfit,PSE,PS0125,PS01,May,2024,22,0
Palestine,Gaza Strip,Deir Al-Balah,PSE,PS0265,PS02,May,2024,194,322
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,May,2024,290,792
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,May,2024,29,2
Palestine,West Bank,Jenin,PSE,PS0101,PS01,May,2024,48,14
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,May,2024,48,13
Palestine,Gaza Strip,Gaza,PSE,PS0260,PS02,June,2024,298,574
Palestine,West Bank,Nablus,PSE,PS0115,PS01,June,2024,136,4
Palestine,West Bank,Hebron,PSE,PS0150,PS01,June,2024,73,0
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,June,2024,24,1
Palestine,West Bank,Jericho,PSE,PS0135,PS01,June,2024,12,2
Palestine,West Bank,Ramallah,PSE,PS0130,PS01,June,2024,65,5
Palestine,Gaza Strip,Khan Younis,PSE,PS0270,PS02,June,2024,90,100
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,June,2024,58,41
Palestine,West Bank,Tubas,PSE,PS0105,PS01,June,2024,20,1
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,June,2024,19,5
Palestine,West Bank,Salfit,PSE,PS0125,PS01,June,2024,12,0
Palestine,Gaza Strip,Deir Al-Balah,PSE,PS0265,PS02,June,2024,206,625
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,June,2024,277,694
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,June,2024,26,0
Palestine,West Bank,Jenin,PSE,PS0101,PS01,June,2024,59,16
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,June,2024,35,6
Palestine,Gaza Strip,Gaza,PSE,PS0260,PS02,July,2024,336,638
Palestine,West Bank,Nablus,PSE,PS0115,PS01,July,2024,164,5
Palestine,West Bank,Hebron,PSE,PS0150,PS01,July,2024,92,5
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,July,2024,40,0
Palestine,West Bank,Jericho,PSE,PS0135,PS01,July,2024,8,0
Palestine,West Bank,Ramallah,PSE,PS0130,PS01,July,2024,101,5
Palestine,Gaza Strip,Khan Younis,PSE,PS0270,PS02,July,2024,183,542
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,July,2024,56,54
Palestine,West Bank,Tubas,PSE,PS0105,PS01,July,2024,15,2
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,July,2024,40,0
Palestine,West Bank,Salfit,PSE,PS0125,PS01,July,2024,13,0
Palestine,Gaza Strip,Deir Al-Balah,PSE,PS0265,PS02,July,2024,205,536
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,July,2024,195,616
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,July,2024,37,1
Palestine,West Bank,Jenin,PSE,PS0101,PS01,July,2024,59,12
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,July,2024,48,14
Palestine,Gaza Strip,Gaza,PSE,PS0260,PS02,August,2024,280,514
Palestine,West Bank,Nablus,PSE,PS0115,PS01,August,2024,144,3
Palestine,West Bank,Hebron,PSE,PS0150,PS01,August,2024,83,3
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,August,2024,42,3
Palestine,West Bank,Jericho,PSE,PS0135,PS01,August,2024,15,0
Palestine,West Bank,Ramallah,PSE,PS0130,PS01,August,2024,71,3
Palestine,Gaza Strip,Khan Younis,PSE,PS0270,PS02,August,2024,296,586
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,August,2024,104,89
Palestine,West Bank,Tubas,PSE,PS0105,PS01,August,2024,24,15
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,August,2024,49,4
Palestine,West Bank,Salfit,PSE,PS0125,PS01,August,2024,35,4
Palestine,Gaza Strip,Deir Al-Balah,PSE,PS0265,PS02,August,2024,245,428
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,August,2024,161,673
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,August,2024,31,2
Palestine,West Bank,Jenin,PSE,PS0101,PS01,August,2024,52,40
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,August,2024,49,34
Palestine,Gaza Strip,Gaza,PSE,PS0260,PS02,September,2024,212,369
Palestine,West Bank,Nablus,PSE,PS0115,PS01,September,2024,132,3
Palestine,West Bank,Hebron,PSE,PS0150,PS01,September,2024,87,6
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,September,2024,52,0
Palestine,West Bank,Jericho,PSE,PS0135,PS01,September,2024,14,4
Palestine,West Bank,Ramallah,PSE,PS0130,PS01,September,2024,61,3
Palestine,Gaza Strip,Khan Younis,PSE,PS0270,PS02,September,2024,121,153
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,September,2024,104,140
Palestine,West Bank,Tubas,PSE,PS0105,PS01,September,2024,24,14
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,September,2024,33,0
Palestine,West Bank,Salfit,PSE,PS0125,PS01,September,2024,21,0
Palestine,Gaza Strip,Deir Al-Balah,PSE,PS0265,PS02,September,2024,176,279
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,September,2024,135,293
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,September,2024,32,3
Palestine,West Bank,Jenin,PSE,PS0101,PS01,September,2024,75,13
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,September,2024,36,11
Palestine,Gaza Strip,Gaza,PSE,PS0260,PS02,October,2024,259,321
Palestine,West Bank,Nablus,PSE,PS0115,PS01,October,2024,181,9
Palestine,West Bank,Hebron,PSE,PS0150,PS01,October,2024,70,2
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,October,2024,49,0
Palestine,West Bank,Jericho,PSE,PS0135,PS01,October,2024,6,1
Palestine,West Bank,Ramallah,PSE,PS0130,PS01,October,2024,67,1
Palestine,Gaza Strip,Khan Younis,PSE,PS0270,PS02,October,2024,117,200
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,October,2024,263,1858
Palestine,West Bank,Tubas,PSE,PS0105,PS01,October,2024,40,1
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,October,2024,27,1
Palestine,West Bank,Salfit,PSE,PS0125,PS01,October,2024,41,0
Palestine,Gaza Strip,Deir Al-Balah,PSE,PS0265,PS02,October,2024,185,364
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,October,2024,136,133
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,October,2024,44,2
Palestine,West Bank,Jenin,PSE,PS0101,PS01,October,2024,62,5
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,October,2024,48,33
Palestine,Gaza Strip,Gaza,PSE,PS0260,PS02,November,2024,236,352
Palestine,West Bank,Nablus,PSE,PS0115,PS01,November,2024,123,4
Palestine,West Bank,Hebron,PSE,PS0150,PS01,November,2024,60,1
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,November,2024,57,0
Palestine,West Bank,Jericho,PSE,PS0135,PS01,November,2024,7,0
Palestine,West Bank,Ramallah,PSE,PS0130,PS01,November,2024,55,0
Palestine,Gaza Strip,Khan Younis,PSE,PS0270,PS02,November,2024,91,199
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,November,2024,263,1240
Palestine,West Bank,Tubas,PSE,PS0105,PS01,November,2024,17,3
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,November,2024,20,0
Palestine,West Bank,Salfit,PSE,PS0125,PS01,November,2024,35,1
Palestine,Gaza Strip,Deir Al-Balah,PSE,PS0265,PS02,November,2024,184,270
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,November,2024,129,145
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,November,2024,30,2
Palestine,West Bank,Jenin,PSE,PS0101,PS01,November,2024,76,23
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,November,2024,47,3
Palestine,Gaza Strip,Gaza,PSE,PS0260,PS02,December,2024,237,440
Palestine,West Bank,Nablus,PSE,PS0115,PS01,December,2024,152,8
Palestine,West Bank,Hebron,PSE,PS0150,PS01,December,2024,51,1
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,December,2024,33,2
Palestine,West Bank,Jericho,PSE,PS0135,PS01,December,2024,10,0
Palestine,West Bank,Ramallah,PSE,PS0130,PS01,December,2024,45,0
Palestine,Gaza Strip,Khan Younis,PSE,PS0270,PS02,December,2024,76,125
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,December,2024,187,532
Palestine,West Bank,Tubas,PSE,PS0105,PS01,December,2024,28,6
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,December,2024,22,3
Palestine,West Bank,Salfit,PSE,PS0125,PS01,December,2024,20,0
Palestine,Gaza Strip,Deir Al-Balah,PSE,PS0265,PS02,December,2024,166,303
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,December,2024,107,118
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,December,2024,25,2
Palestine,West Bank,Jenin,PSE,PS0101,PS01,December,2024,68,17
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,December,2024,35,14
Palestine,Gaza Strip,Gaza,PSE,PS0260,PS02,January,2025,183,429
Palestine,West Bank,Nablus,PSE,PS0115,PS01,January,2025,145,8
Palestine,West Bank,Hebron,PSE,PS0150,PS01,January,2025,78,0
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,January,2025,45,0
Palestine,West Bank,Jericho,PSE,PS0135,PS01,January,2025,13,0
Palestine,West Bank,Ramallah,PSE,PS0130,PS01,January,2025,72,0
